tanggal,batch_id,operator_ut,probe_freq_MHz,probe_angle_deg,gain_dB,thickness_reading_mm,indication_amplitude_pct,defect_depth_mm,defect_length_mm,ut_hasil,tanggal_kalibrasi_ut
2026-08-08,B039,UT-03,4.0,60,47.3,9.962,35.2,0.0,0.0,Accept,2026-07-07
2026-08-09,B040,UT-01,2.25,60,38.6,9.936,28.9,0.0,0.0,Accept,2026-06-04
2026-08-10,B041,UT-03,4.0,60,40.8,9.852,45.5,0.0,0.0,Accept,2026-07-26
2026-08-11,B042,UT-03,5.0,70,41.0,10.059,34.4,0.0,0.0,Accept,2026-06-08
2026-08-12,B043,UT-02,5.0,60,38.0,9.913,34.5,0.0,0.0,Accept,2026-06-12
2026-08-13,B044,UT-03,4.0,60,47.6,10.062,25.6,0.0,0.0,Accept,2026-07-28
2026-08-14,B045,UT-02,2.25,60,41.4,9.871,14.4,0.0,0.0,Accept,2026-06-22
2026-08-15,B046,UT-03,4.0,45,40.7,9.883,14.4,0.0,0.0,Accept,2026-07-22
2026-08-16,B047,UT-02,2.25,70,40.9,9.803,13.1,0.0,0.0,Accept,2026-07-15
2026-08-17,B048,UT-03,5.0,60,42.2,9.797,26.4,0.0,0.0,Accept,2026-06-14
2026-08-18,B049,UT-01,5.0,45,37.9,10.085,80.7,5.58,11.1,Reject,2026-06-27
2026-08-19,B050,UT-01,2.25,70,34.9,9.812,41.3,0.0,0.0,Accept,2026-06-05
2026-08-20,B051,UT-01,5.0,45,46.2,10.095,14.8,0.0,0.0,Accept,2026-07-20
2026-08-21,B052,UT-02,5.0,60,42.1,10.292,9.4,0.0,0.0,Accept,2026-06-14
2026-08-22,B053,UT-01,2.25,45,39.8,9.851,17.9,0.0,0.0,Accept,2026-07-04
2026-08-23,B054,UT-01,5.0,45,33.0,9.925,31.3,0.0,0.0,Accept,2026-06-06
2026-08-24,B055,UT-02,2.25,60,42.3,10.122,33.7,0.0,0.0,Accept,2026-06-15
2026-08-25,B056,UT-02,4.0,45,37.6,9.8,18.1,0.0,0.0,Accept,2026-07-07
2026-08-26,B057,UT-02,5.0,60,42.1,10.058,25.9,0.0,0.0,Accept,2026-06-19
2026-08-27,B058,UT-02,2.25,60,32.5,10.004,49.9,0.0,0.0,Accept,2026-06-30
2026-08-28,B059,UT-02,4.0,70,43.3,9.9,39.8,0.0,0.0,Accept,2026-07-02
2026-08-29,B060,UT-02,5.0,60,42.1,10.018,34.9,0.0,0.0,Accept,2026-06-25
2026-08-30,B061,UT-01,4.0,60,39.3,9.923,5.3,0.0,0.0,Accept,2026-07-07
2026-08-31,B062,UT-01,2.25,60,41.5,10.008,34.3,0.0,0.0,Accept,2026-07-20
2026-09-01,B063,UT-03,4.0,45,34.1,10.007,25.6,0.0,0.0,Accept,2026-06-27
2026-09-02,B064,UT-01,5.0,60,37.9,9.991,22.7,0.0,0.0,Accept,2026-06-24
2026-09-03,B065,UT-03,2.25,70,39.0,9.885,26.5,0.0,0.0,Accept,2026-07-30
2026-09-04,B066,UT-03,2.25,45,35.4,10.137,19.4,0.0,0.0,Accept,2026-07-08
2026-09-05,B067,UT-03,4.0,45,42.8,10.057,0.0,0.0,0.0,Accept,2026-06-08
2026-09-06,B068,UT-01,4.0,45,39.9,9.974,3.3,0.0,0.0,Accept,2026-06-11
2026-09-07,B069,UT-01,2.25,45,41.2,10.062,19.5,0.0,0.0,Accept,2026-07-03
2026-09-08,B070,UT-01,5.0,45,34.1,10.309,35.8,0.0,0.0,Accept,2026-06-04
2026-09-09,B071,UT-02,5.0,45,37.2,10.152,24.7,0.0,0.0,Accept,2026-06-10
2026-09-10,B072,UT-01,2.25,45,41.4,10.025,28.2,0.0,0.0,Accept,2026-07-28
2026-09-11,B073,UT-01,5.0,70,38.9,10.111,23.0,0.0,0.0,Accept,2026-07-26
2026-09-12,B074,UT-03,2.25,70,38.2,9.989,28.0,0.0,0.0,Accept,2026-07-07
2026-09-13,B075,UT-01,4.0,70,43.7,9.853,92.9,6.81,4.3,Reject,2026-06-03
2026-09-14,B076,UT-03,5.0,60,40.8,9.894,11.7,0.0,0.0,Accept,2026-07-10
2026-09-15,B077,UT-02,5.0,60,37.7,9.968,35.0,0.0,0.0,Accept,2026-07-08
2026-09-16,B078,UT-03,4.0,60,38.1,10.139,23.8,0.0,0.0,Accept,2026-06-29
2026-09-17,B079,UT-02,5.0,60,45.4,10.084,39.6,0.0,0.0,Accept,2026-07-15
2026-09-18,B080,UT-03,4.0,60,41.7,10.022,22.9,0.0,0.0,Accept,2026-06-23
