tanggal,batch_id,shift,operator,jenis_proses,arus_A,tegangan_V,travel_speed_cm_min,preheat_C,interpass_C,gas_flow_L_min,material_grade,heat_number,joint_type,welding_position,suhu_ambient_C,kelembaban_persen
2026-07-13,B013,Shift 3,OP-01,SMAW,135.6,23.0,12.0,127.6,178.2,16.0,A516 Gr.70,HT-2026-758,Tee Joint,4G,30.5,80.1
2026-07-14,B014,Shift 1,OP-01,SMAW,134.8,24.5,12.6,105.7,174.4,15.9,A387 Gr.11,HT-2026-900,Fillet Joint,1G,29.1,71.3
2026-07-15,B015,Shift 2,OP-05,SAW,158.0,25.9,12.8,82.3,155.0,15.3,A36,HT-2026-875,Tee Joint,3G,30.0,86.7
2026-07-16,B016,Shift 2,OP-05,GTAW,141.0,29.4,13.3,102.9,142.1,16.0,SS400,HT-2026-617,Tee Joint,4G,30.9,77.6
2026-07-17,B017,Shift 3,OP-02,SAW,132.3,21.0,11.1,137.1,189.3,12.5,A387 Gr.11,HT-2026-785,Fillet Joint,4G,27.7,86.3
2026-07-18,B018,Shift 3,OP-05,GTAW,132.2,21.9,13.8,111.0,165.2,13.5,A516 Gr.70,HT-2026-637,Tee Joint,2G,31.0,101.1
2026-07-19,B019,Shift 2,OP-02,SAW,153.6,26.3,13.9,133.0,179.9,16.5,A516 Gr.70,HT-2026-953,Tee Joint,1G,30.3,78.8
2026-07-20,B020,Shift 2,OP-03,SAW,150.3,20.2,13.9,109.8,171.9,14.7,A387 Gr.11,HT-2026-919,Butt Joint,2G,25.9,79.1
2026-07-21,B021,Shift 1,OP-01,GTAW,135.1,25.7,10.4,117.7,172.8,16.7,A36,HT-2026-612,Tee Joint,2G,29.4,76.8
2026-07-22,B022,Shift 2,OP-01,SMAW,149.1,28.5,10.4,158.5,196.6,15.5,A36,HT-2026-319,Butt Joint,3G,29.5,89.2
2026-07-23,B023,Shift 2,OP-05,GTAW,144.7,22.1,9.4,117.9,147.9,12.4,A387 Gr.11,HT-2026-322,Fillet Joint,2G,30.0,82.5
2026-07-24,B024,Shift 2,OP-03,SMAW,174.0,24.8,13.1,123.0,184.7,16.1,SS400,HT-2026-790,Tee Joint,1G,32.3,80.7
2026-07-25,B025,Shift 2,OP-03,SAW,127.8,25.2,10.2,106.0,151.8,14.8,SS400,HT-2026-189,Butt Joint,2G,27.8,85.7
2026-07-26,B026,Shift 2,OP-05,SMAW,144.6,20.6,9.9,146.5,201.0,14.8,A387 Gr.11,HT-2026-291,Tee Joint,1G,28.8,80.3
2026-07-27,B027,Shift 3,OP-01,SAW,152.4,20.9,12.4,141.4,199.1,12.8,SS400,HT-2026-897,Butt Joint,1G,32.6,78.1
2026-07-28,B028,Shift 3,OP-05,SMAW,155.2,23.4,12.6,117.4,168.4,16.2,A516 Gr.70,HT-2026-495,Butt Joint,4G,32.3,82.7
2026-07-29,B029,Shift 1,OP-03,SAW,154.4,25.3,12.0,102.1,152.8,13.6,SS400,HT-2026-334,Tee Joint,2G,30.2,78.5
2026-07-30,B030,Shift 1,OP-01,GTAW,141.1,26.4,11.0,92.9,127.0,15.2,A387 Gr.11,HT-2026-756,Tee Joint,3G,28.6,76.7
2026-07-31,B031,Shift 1,OP-02,GTAW,149.7,27.0,13.7,116.8,166.6,13.0,A36,HT-2026-759,Butt Joint,3G,32.5,82.6
2026-08-01,B032,Shift 2,OP-02,SMAW,152.4,24.2,9.1,103.1,149.7,15.9,A387 Gr.11,HT-2026-272,Butt Joint,3G,30.1,83.9
2026-08-02,B033,Shift 1,OP-03,SAW,152.1,24.1,16.6,128.1,173.8,18.7,SS400,HT-2026-111,Fillet Joint,4G,29.7,74.4
2026-08-03,B034,Shift 1,OP-01,SAW,140.4,22.5,12.9,99.2,135.7,13.9,A36,HT-2026-244,Butt Joint,1G,33.5,69.0
2026-08-04,B035,Shift 1,OP-01,GTAW,135.3,23.2,15.4,85.4,136.8,17.1,SS400,HT-2026-245,Tee Joint,1G,32.7,73.9
2026-08-05,B036,Shift 1,OP-03,SMAW,162.3,23.2,10.6,122.2,175.6,18.8,A516 Gr.70,HT-2026-664,Butt Joint,2G,29.1,81.7
2026-08-06,B037,Shift 2,OP-04,SAW,129.0,23.7,12.2,130.3,187.4,12.8,A387 Gr.11,HT-2026-650,Fillet Joint,2G,33.1,78.7
2026-08-07,B038,Shift 3,OP-05,SMAW,162.7,24.1,16.1,155.1,202.6,16.9,A36,HT-2026-677,Tee Joint,3G,30.5,82.8
2026-08-08,B039,Shift 1,OP-01,SAW,145.8,24.5,13.6,161.0,213.6,14.1,A387 Gr.11,HT-2026-641,Tee Joint,2G,26.6,77.7
2026-08-09,B040,Shift 3,OP-01,SAW,150.8,23.9,7.9,118.2,155.2,16.3,A516 Gr.70,HT-2026-947,Tee Joint,3G,30.7,72.4
2026-08-10,B041,Shift 2,OP-03,SAW,137.3,21.9,11.9,139.1,179.2,16.0,SS400,HT-2026-104,Fillet Joint,4G,29.5,77.5
2026-08-11,B042,Shift 3,OP-01,GTAW,170.2,28.8,13.6,114.3,160.5,13.4,SS400,HT-2026-146,Butt Joint,2G,31.7,74.3
2026-08-12,B043,Shift 3,OP-02,SMAW,134.0,25.2,10.9,95.4,169.2,14.4,A36,HT-2026-625,Tee Joint,4G,30.8,73.3
2026-08-13,B044,Shift 2,OP-01,SMAW,152.1,25.3,9.7,86.8,139.8,14.0,A516 Gr.70,HT-2026-185,Fillet Joint,2G,33.4,83.3
2026-08-14,B045,Shift 1,OP-04,SAW,144.9,27.0,12.2,102.8,168.0,16.1,A36,HT-2026-524,Butt Joint,2G,30.5,83.0
2026-08-15,B046,Shift 2,OP-03,GTAW,144.8,20.7,13.0,116.1,164.1,10.4,A36,HT-2026-449,Tee Joint,4G,25.0,82.1
2026-08-16,B047,Shift 3,OP-01,GTAW,150.9,23.8,12.5,125.5,168.2,13.9,A516 Gr.70,HT-2026-814,Fillet Joint,3G,29.1,81.0
2026-08-17,B048,Shift 2,OP-03,SAW,154.6,22.4,15.7,125.3,173.2,15.3,A387 Gr.11,HT-2026-944,Tee Joint,3G,29.7,75.6
2026-08-18,B049,Shift 3,OP-03,GTAW,136.0,25.5,14.2,135.4,178.2,19.9,A516 Gr.70,HT-2026-916,Butt Joint,2G,28.9,87.0
2026-08-19,B050,Shift 2,OP-03,SMAW,137.4,21.5,12.4,127.1,182.4,16.4,SS400,HT-2026-104,Tee Joint,3G,31.5,79.5
2026-08-20,B051,Shift 1,OP-01,SAW,157.3,20.6,11.0,158.1,213.7,15.6,A516 Gr.70,HT-2026-242,Butt Joint,1G,27.6,68.3
2026-08-21,B052,Shift 3,OP-02,SAW,133.8,24.1,12.5,89.4,120.7,13.5,A516 Gr.70,HT-2026-768,Butt Joint,4G,31.0,87.5
2026-08-22,B053,Shift 2,OP-01,GTAW,159.6,25.4,11.3,111.5,161.0,18.7,A36,HT-2026-258,Tee Joint,4G,34.5,72.4
2026-08-23,B054,Shift 2,OP-03,SAW,192.6,24.4,6.9,112.3,175.6,19.0,SS400,HT-2026-759,Tee Joint,2G,30.3,83.0
2026-08-24,B055,Shift 3,OP-04,SMAW,131.6,19.4,12.4,172.9,220.8,15.1,A387 Gr.11,HT-2026-904,Tee Joint,2G,28.8,85.8
2026-08-25,B056,Shift 3,OP-05,SAW,135.6,23.0,12.8,112.2,149.9,12.8,SS400,HT-2026-408,Butt Joint,2G,28.0,68.1
2026-08-26,B057,Shift 3,OP-03,SAW,157.3,24.1,9.4,94.1,140.7,18.3,A516 Gr.70,HT-2026-281,Butt Joint,3G,32.1,73.8
2026-08-27,B058,Shift 2,OP-04,SAW,131.4,22.6,12.2,90.3,139.9,15.9,SS400,HT-2026-459,Butt Joint,3G,28.6,78.9
2026-08-28,B059,Shift 2,OP-01,GTAW,133.3,25.3,11.8,123.1,198.8,12.8,A516 Gr.70,HT-2026-274,Fillet Joint,2G,26.9,94.8
2026-08-29,B060,Shift 2,OP-02,SAW,168.9,24.0,11.4,105.7,156.8,14.6,A36,HT-2026-261,Butt Joint,3G,29.5,84.1
2026-08-30,B061,Shift 1,OP-03,SAW,120.7,24.7,12.1,91.8,124.7,17.0,SS400,HT-2026-703,Tee Joint,4G,29.5,75.8
2026-08-31,B062,Shift 3,OP-02,SAW,155.7,24.9,11.3,143.2,182.4,16.2,A36,HT-2026-874,Butt Joint,3G,30.7,83.2
2026-09-01,B063,Shift 3,OP-04,SMAW,152.9,24.5,9.0,142.8,188.2,17.2,SS400,HT-2026-355,Fillet Joint,1G,26.5,74.7
2026-09-02,B064,Shift 3,OP-01,GTAW,159.6,23.9,11.3,146.9,218.5,16.3,A36,HT-2026-334,Fillet Joint,4G,32.2,84.9
2026-09-03,B065,Shift 2,OP-02,SAW,146.8,26.6,12.0,147.2,195.7,13.6,SS400,HT-2026-973,Fillet Joint,1G,28.2,72.5
2026-09-04,B066,Shift 1,OP-04,GTAW,131.4,25.7,11.8,166.0,227.8,15.5,A36,HT-2026-657,Fillet Joint,4G,30.3,76.7
2026-09-05,B067,Shift 2,OP-05,SMAW,157.4,23.8,13.5,150.0,198.7,16.1,A36,HT-2026-647,Tee Joint,4G,30.6,76.3
2026-09-06,B068,Shift 1,OP-03,GTAW,150.6,21.9,7.8,113.0,152.5,11.4,SS400,HT-2026-138,Tee Joint,3G,29.4,74.0
2026-09-07,B069,Shift 1,OP-01,GTAW,155.0,26.0,10.3,120.9,183.7,16.4,SS400,HT-2026-367,Tee Joint,3G,31.6,78.8
2026-09-08,B070,Shift 2,OP-01,GTAW,151.7,23.6,14.3,118.4,163.7,16.8,A516 Gr.70,HT-2026-251,Tee Joint,4G,27.9,85.7
2026-09-09,B071,Shift 2,OP-01,SMAW,141.1,24.3,12.8,81.4,124.9,17.1,A36,HT-2026-207,Fillet Joint,2G,31.4,78.3
2026-09-10,B072,Shift 3,OP-01,GTAW,163.3,22.6,11.0,70.3,129.5,15.6,A36,HT-2026-458,Butt Joint,1G,29.2,76.3
2026-09-11,B073,Shift 1,OP-01,SAW,124.8,22.2,10.0,104.6,154.3,15.5,A36,HT-2026-904,Butt Joint,1G,29.7,73.0
2026-09-12,B074,Shift 2,OP-01,GTAW,179.6,22.7,14.3,152.4,186.7,15.1,SS400,HT-2026-852,Fillet Joint,3G,30.9,81.0
2026-09-13,B075,Shift 3,OP-02,GTAW,126.3,25.1,17.0,129.4,162.4,15.4,A36,HT-2026-244,Tee Joint,4G,34.5,74.0
2026-09-14,B076,Shift 1,OP-05,SAW,111.3,22.2,11.6,84.8,134.1,14.6,A516 Gr.70,HT-2026-325,Tee Joint,2G,31.8,72.3
2026-09-15,B077,Shift 1,OP-03,GTAW,132.4,24.0,13.4,98.8,114.0,13.3,A516 Gr.70,HT-2026-667,Fillet Joint,4G,26.7,80.8
2026-09-16,B078,Shift 3,OP-05,SMAW,148.6,24.6,13.9,128.4,182.5,16.4,SS400,HT-2026-269,Tee Joint,3G,28.7,80.9
2026-09-17,B079,Shift 1,OP-04,SAW,139.4,22.3,10.6,129.9,184.1,15.8,A36,HT-2026-323,Butt Joint,2G,31.3,66.6
2026-09-18,B080,Shift 2,OP-04,SAW,140.8,22.2,11.2,106.6,156.1,14.3,A36,HT-2026-136,Butt Joint,2G,30.4,80.5
